YEAR,MM,DD,PRECTOTCORR,NAMES
1981,8,10,3.44,bobo
1981,8,11,16.01,bobo
1981,8,12,11.58,bobo
1981,8,13,8.09,bobo
1981,8,14,8.34,bobo
1981,8,15,16.33,bobo
1981,8,16,4.92,bobo
1981,8,17,7.57,bobo
1981,8,18,10.81,bobo
1981,8,19,9.26,bobo
1981,8,20,5.48,bobo
1981,8,21,4.42,bobo
1981,8,22,13.93,bobo
1981,8,23,6.39,bobo
1981,8,24,8.29,bobo
1981,8,25,9.76,bobo
1981,8,26,10.77,bobo
1981,8,27,11.48,bobo
1981,8,28,11.17,bobo
1981,8,29,15.77,bobo
1981,8,30,21.05,bobo
1981,8,31,9.48,bobo
1981,9,1,3.35,bobo
1981,9,2,3.99,bobo
1981,9,3,10.57,bobo
1981,9,4,14.51,bobo
1981,9,5,12.26,bobo
1981,9,6,19.9,bobo
1981,9,7,49.19,bobo
1981,9,8,2.72,bobo
1981,9,9,2.86,bobo
1981,9,10,15.6,bobo
1981,9,11,16.32,bobo
1981,9,12,4.51,bobo
1981,9,13,10.52,bobo
1981,9,14,4.75,bobo
1981,9,15,9.46,bobo
1981,9,16,22.41,bobo
1981,9,17,11.66,bobo
1981,9,18,-9999,bobo
1981,9,19,5.16,bobo
1981,9,20,10.01,bobo
1981,9,21,5.1,bobo
1981,9,22,4.94,bobo
1981,9,23,10.26,bobo
1981,9,24,5.29,bobo
1981,9,25,8.23,bobo
1981,9,26,4.61,bobo
1981,9,27,2.49,bobo
1981,9,28,3.21,bobo
1981,9,29,3.2,bobo
1981,9,30,1.34,bobo
1981,10,1,3.22,bobo
1981,10,2,3.48,bobo
1981,10,3,0.95,bobo
1981,10,4,2.15,bobo
1981,10,5,0.83,bobo
1981,10,6,1.6,bobo
1981,10,7,0.79,bobo
1981,10,8,4.34,bobo
1981,10,9,2.34,bobo
1981,10,10,0.52,bobo
1981,10,11,1.61,bobo
1981,10,12,1.32,bobo
1981,10,13,2.53,bobo
1981,10,14,0.7,bobo
1981,10,15,2.35,bobo
1981,10,16,1.07,bobo
1981,10,17,1.62,bobo
1981,10,18,0.22,bobo
1981,10,19,0.17,bobo
1981,10,20,0.2,bobo
1981,10,21,0.23,bobo
1981,10,22,0.13,bobo
1981,10,23,2.61,bobo
1981,10,24,4.75,bobo
1981,10,25,1.65,bobo
1981,10,26,1.81,bobo
1981,10,27,1.65,bobo
1981,10,28,0.03,bobo
1981,10,29,0.03,bobo
1981,10,30,0.03,bobo
1981,10,31,0.02,bobo
1981,11,1,0.02,bobo
1981,11,2,0.09,bobo
1981,11,3,0.15,bobo
1981,11,4,0.14,bobo
1981,11,5,0,bobo
1981,11,6,0.02,bobo
1981,11,7,0,bobo
1981,11,8,0,bobo
1981,11,9,0,bobo
1981,11,10,0,bobo
1981,11,11,0,bobo
1981,11,12,0.26,bobo
1981,11,13,0.09,bobo
1981,11,14,0,bobo
1981,11,15,0.01,bobo
1981,11,16,0.07,bobo
1981,11,17,0,bobo
1981,11,18,0,bobo
1981,11,19,0,bobo
1981,11,20,0.23,bobo
1981,11,21,0.02,bobo
1981,11,22,0,bobo
1981,11,23,0,bobo
1981,11,24,0,bobo
1981,11,25,0,bobo
1981,11,26,0,bobo
1981,11,27,0,bobo
1981,11,28,0,bobo
1981,11,29,0,bobo
1981,11,30,0,bobo
1981,12,1,0,bobo
1981,12,2,0,bobo
1981,12,3,0,bobo
1981,12,4,0,bobo
1981,12,5,0,bobo
1981,12,6,0,bobo
1981,12,7,0,bobo
1981,12,8,0,bobo
1981,12,9,0,bobo
1981,12,10,0,bobo
1981,12,11,0,bobo
1981,12,12,0,bobo
1981,12,13,0,bobo
1981,12,14,0,bobo
1981,12,15,0,bobo
1981,12,16,0,bobo
1981,12,17,0,bobo
1981,12,18,0,bobo
1981,12,19,0,bobo
1981,12,20,0,bobo
1981,12,21,0,bobo
1981,12,22,0,bobo
1981,12,23,0,bobo
1981,12,24,-9999,bobo
1981,12,25,0,bobo
1981,12,26,0,bobo
1981,12,27,0,bobo
1981,12,28,0,bobo
1981,12,29,0,bobo
1981,12,30,0,bobo
1981,12,31,0,bobo
1982,1,1,0,bobo
1982,1,2,0,bobo
1982,1,3,0,bobo
1982,1,4,0,bobo
1982,1,5,0,bobo
1982,1,6,0,bobo
1982,1,7,0,bobo
1982,1,8,0,bobo
1982,1,9,0,bobo
1982,1,10,0,bobo
1982,1,11,0,bobo
1982,1,12,0,bobo
1982,1,13,0.01,bobo
1982,1,14,0.02,bobo
1982,1,15,0,bobo
1982,1,16,0,bobo
1982,1,17,0,bobo
1982,1,18,0,bobo
1982,1,19,0,bobo
1982,1,20,0,bobo
1982,1,21,0.02,bobo
1982,1,22,0.31,bobo
1982,1,23,0.03,bobo
1982,1,24,0,bobo
1982,1,25,0,bobo
1982,1,26,0,bobo
1982,1,27,0,bobo
1982,1,28,0,bobo
1982,1,29,0,bobo
1982,1,30,0,bobo
1982,1,31,0,bobo
1982,2,1,0,bobo
1982,2,2,0,bobo
1982,2,3,0,bobo
1982,2,4,0,bobo
1982,2,5,0,bobo
1982,2,6,0,bobo
1982,2,7,0,bobo
1982,2,8,0,bobo
1982,2,9,0,bobo
1982,2,10,0,bobo
1982,2,11,0,bobo
1982,2,12,0,bobo
1982,2,13,0,bobo
1982,2,14,0,bobo
1982,2,15,1.74,bobo
1982,2,16,1.86,bobo
1982,2,17,0.92,bobo
1982,2,18,1.9,bobo
1982,2,19,3.05,bobo
1982,2,20,0.02,bobo
1982,2,21,0.01,bobo
1982,2,22,0,bobo
1982,2,23,0,bobo
1982,2,24,0,bobo
1982,2,25,0,bobo
1982,2,26,0,bobo
1982,2,27,0,bobo
1982,2,28,0,bobo
1982,3,1,0,bobo
1982,3,2,0,bobo
1982,3,3,0,bobo
1982,3,4,0,bobo
1982,3,5,0,bobo
1982,3,6,0,bobo
1982,3,7,0,bobo
1982,3,8,0,bobo
1982,3,9,1.25,bobo
1982,3,10,12.51,bobo
1982,3,11,23.87,bobo
1982,3,12,16.43,bobo
1982,3,13,3.62,bobo
1982,3,14,8.04,bobo
1982,3,15,6.83,bobo
1982,3,16,6.27,bobo
