YEAR,MM,DD,T2M_MAX,T2M_MIN,NAMES
1981,6,28,34.75,24.4,dori
1981,6,29,35.45,24.76,dori
1981,6,30,36.92,24.48,dori
1981,7,1,36.11,24.68,dori
1981,7,2,36.85,24.68,dori
1981,7,3,35.48,23.66,dori
1981,7,4,37.34,24.94,dori
1981,7,5,35.26,24.6,dori
1981,7,6,33.15,23.45,dori
1981,7,7,34.8,23.34,dori
1981,7,8,33.69,24.44,dori
1981,7,9,33.55,23.57,dori
1981,7,10,33.68,22.56,dori
1981,7,11,32.78,23.58,dori
1981,7,12,34.77,21.94,dori
1981,7,13,36.08,23.33,dori
1981,7,14,29.86,24.37,dori
1981,7,15,31.27,23.44,dori
1981,7,16,34.72,23.89,dori
1981,7,17,33.36,23.58,dori
1981,7,18,32.83,23.24,dori
1981,7,19,31.62,23.01,dori
1981,7,20,34.31,23.51,dori
1981,7,21,31.85,24.07,dori
1981,7,22,27.58,23.46,dori
1981,7,23,31.32,22.35,dori
1981,7,24,30.77,22.9,dori
1981,7,25,33.77,21.75,dori
1981,7,26,30.15,22.53,dori
1981,7,27,32.65,22.14,dori
1981,7,28,32.02,23.33,dori
1981,7,29,31.06,23.22,dori
1981,7,30,31.46,23.3,dori
1981,7,31,32.41,22.2,dori
1981,8,1,34.29,22.3,dori
1981,8,2,29.7,22.98,dori
1981,8,3,33.73,22.25,dori
1981,8,4,32.01,22.95,dori
1981,8,5,33.6,23.37,dori
1981,8,6,33.74,22.64,dori
1981,8,7,33.21,22.55,dori
1981,8,8,34.34,23.36,dori
1981,8,9,36.76,23.81,dori
1981,8,10,31.82,24.73,dori
1981,8,11,29.98,23.64,dori
1981,8,12,33.78,22,dori
1981,8,13,32.34,23.16,dori
1981,8,14,31.89,23.15,dori
1981,8,15,33.43,23.19,dori
1981,8,16,33.55,23.58,dori
1981,8,17,33.64,23.5,dori
1981,8,18,31.23,22.91,dori
1981,8,19,30.87,23.44,dori
1981,8,20,32.3,22.58,dori
1981,8,21,33.03,22.37,dori
1981,8,22,31.29,22.23,dori
1981,8,23,33.01,22.1,dori
1981,8,24,34.54,23.26,dori
1981,8,25,31.14,23.05,dori
1981,8,26,33.15,21.35,dori
1981,8,27,30.85,22.79,dori
1981,8,28,31.52,22.26,dori
1981,8,29,28.1,22.82,dori
1981,8,30,31,22.24,dori
1981,8,31,31.76,22.85,dori
1981,9,1,35.08,21.99,dori
1981,9,2,32.09,22.9,dori
1981,9,3,34.6,22.55,dori
1981,9,4,33.44,22.73,dori
1981,9,5,30.72,22.85,dori
1981,9,6,33.71,21.53,dori
1981,9,7,29.8,22.35,dori
1981,9,8,31.08,23,dori
1981,9,9,30.79,22.56,dori
1981,9,10,29.7,22.45,dori
1981,9,11,33.98,21.12,dori
1981,9,12,33.29,21.86,dori
1981,9,13,32.88,23.68,dori
1981,9,14,32.48,22.05,dori
1981,9,15,32.16,23.19,dori
1981,9,16,31.22,23.05,dori
1981,9,17,32.3,21.81,dori
1981,9,18,NA,NA,dori
1981,9,19,33.69,22.89,dori
1981,9,20,30.84,23.43,dori
1981,9,21,31.84,22.46,dori
1981,9,22,34.62,22.51,dori
1981,9,23,35.02,22.33,dori
1981,9,24,32.53,23.14,dori
1981,9,25,32.5,22.66,dori
1981,9,26,33.77,21.95,dori
