"YEAR","MM","DD","T2M_MAX","T2M_MIN","PRECTOTCORR"
1981,6,24,31.44,21.22,2.82
1981,6,25,31.28,21.47,2.95
1981,6,26,32,22.27,3.35
1981,6,27,31.36,22.62,4.51
1981,6,28,30.14,22.3,1.95
1981,6,29,32.55,21.68,2.94
1981,6,30,32.19,21.85,3
1981,7,1,32.46,22.63,2.99
1981,7,2,30.8,22.43,5.19
1981,7,3,31.22,21.93,2.62
1981,7,4,31.39,22.32,8.91
1981,7,5,30.95,22.32,5.9
1981,7,6,30.55,22.31,12.55
1981,7,7,30.73,21.51,5.02
1981,7,8,30.09,22.18,10.23
1981,7,9,30.3,21.82,6.8
1981,7,10,29.44,20.78,17.02
1981,7,11,28.62,21.65,8.35
1981,7,12,28.76,21.29,6.57
1981,7,13,28.69,21.63,6.92
1981,7,14,29.67,21.4,6.36
1981,7,15,27.3,21.84,3.39
1981,7,16,29.92,20.9,2.49
1981,7,17,30.48,21.47,5.33
1981,7,18,27.33,22.28,3.26
1981,7,19,30.14,20.86,6.3
1981,7,20,30.55,22.44,7.06
1981,7,21,28.13,22.23,3.58
1981,7,22,29.5,21.22,1.81
1981,7,23,28.66,21.6,4.97
1981,7,24,26.27,21.58,6.54
1981,7,25,28.55,21.3,9.41
1981,7,26,28.11,21.31,7.85
1981,7,27,28.15,20.81,3.51
1981,7,28,29.12,20.95,7.7
1981,7,29,27.08,21.89,5.45
1981,7,30,28.37,20.85,5.23
1981,7,31,24.86,21.48,16.29
1981,8,1,27.62,21.27,18.04
1981,8,2,26.94,21.26,6
1981,8,3,28.68,21.11,9.5
1981,8,4,28.3,21.06,3.1
1981,8,5,28.13,21.71,8.03
1981,8,6,26.65,21.59,4.65
1981,8,7,29.12,20.76,4.37
1981,8,8,28.57,22.25,2.64
1981,8,9,30.96,21.28,5.81
1981,8,10,29.69,22.59,3.44
1981,8,11,28.87,22.45,16.01
1981,8,12,30.5,21.89,11.58
1981,8,13,27.29,21.99,8.09
1981,8,14,27.94,21.03,8.34
1981,8,15,26.4,21.62,16.33
1981,8,16,29.84,20.86,4.92
1981,8,17,30.34,21.14,7.57
1981,8,18,29.03,21.08,10.81
1981,8,19,28.04,21.66,9.26
1981,8,20,28.82,21.02,5.48
1981,8,21,24.78,20.17,4.42
1981,8,22,28.6,18.68,13.93
1981,8,23,28.46,20.93,6.39
1981,8,24,29.48,20.67,8.29
1981,8,25,27.37,21.62,9.76
1981,8,26,26.05,20.8,10.77
1981,8,27,27.46,20.28,11.48
1981,8,28,27.82,21.33,11.17
1981,8,29,26.46,20.97,15.77
1981,8,30,25.33,21.51,21.05
1981,8,31,26.6,20.65,9.48
1981,9,1,29.24,20.37,3.35
1981,9,2,29.54,20.33,3.99
1981,9,3,31.02,21.2,10.57
1981,9,4,27.44,21.02,14.51
1981,9,5,27.36,21.05,12.26
1981,9,6,27.78,20.55,19.9
1981,9,7,27.62,21.18,49.19
1981,9,8,28.62,20.87,2.72
1981,9,9,28.44,21.06,2.86
